"District Name","District Code","Administrative Division","Headquarters","Number of Talukas","Area (in sq. km)","Population (Census 2011)","Population Density (per sq. km)","Sex Ratio","Literacy Rate (%)","Urban Population (%)","Formation Date","Geographical Coordinates (Latitude and Longitude)","Major River(s)","Major Crop(s)","Key Industries/Economy","Tourist Attractions"
"Nandurbar","NB","Nashik Division","Nandurbar",6,5955,1648295,277,978,64.38,16.7,"1 July 1998","21.36° N, 74.24° E","Narmada, Tapi","Jowar, Cotton, Chilli, Maize","Agriculture, Forestry, Small Scale Industries","Toranmal Hill Station, Astamba Dongar, Prakasha (Dakshin Kashi)"
"Chhatrapati Sambhaji Nagar","CSN","Chhatrapati Sambhaji Nagar Division","Chhatrapati Sambhaji Nagar",9,10107,3701282,366,923,79.02,43.8,"1 May 1960","19.87° N, 75.34° E","Godavari, Purna, Dudhna","Cotton, Maize, Jowar, Bajra","Automotive, Pharmaceuticals, Seed Production, Tourism, Himroo Shawls","Ajanta & Ellora Caves, Bibi Ka Maqbara, Daulatabad Fort, Grishneshwar Jyotirlinga"
"Jalna","JN","Chhatrapati Sambhaji Nagar Division","Jalna",8,7718,1959046,254,937,71.53,19.3,"1 May 1981","19.83° N, 75.88° E","Godavari, Purna, Dudhna","Sweet Orange (Mosambi), Cotton, Jowar","Seed Industry (Mahyco), Steel Re-rolling Mills, Agriculture","Jalna Fort, Moti Talab, Jamb Samarth (Birthplace of Sant Ramdas)"
"Beed","BE","Chhatrapati Sambhaji Nagar Division","Beed",11,10693,2585049,242,916,76.99,19.9,"1 May 1960","18.99° N, 75.76° E","Godavari, Sina, Manjara","Cotton, Sugarcane, Jowar, Bajra","Agriculture, Sugar Mills, Animal Husbandry","Parli Vaijnath Jyotirlinga Temple, Kapildhar Waterfall, Khandoba Temple"
"Latur","LA","Chhatrapati Sambhaji Nagar Division","Latur",10,7157,2454196,343,928,77.26,25.5,"16 August 1982","18.40° N, 76.58° E","Manjara, Terna","Soybean, Pulses (Tur), Grapes, Jowar","Soybean Processing, Pulses Trading, Education ('Latur Pattern')","Kharosa Caves, Udgir Fort, Ashtavinayak Temple at Latur"
"Dharashiv","DS","Chhatrapati Sambhaji Nagar Division","Dharashiv",8,7569,1657576,219,924,78.44,17.0,"1 May 1960","18.17° N, 76.04° E","Manjara, Terna, Bhogawati","Jowar, Soybean, Pulses, Sugarcane","Agriculture, Sugar Factories, Solapuri Chaddar weaving","Tulja Bhavani Temple (Tuljapur), Dharashiv Caves, Naldurg Fort"
"Hingoli","HI","Chhatrapati Sambhaji Nagar Division","Hingoli",5,4526,1177345,260,942,78.17,15.2,"1 May 1999","19.71° N, 77.14° E","Penganga, Kayadhu","Cotton, Jowar, Turmeric, Soybean","Agriculture, Turmeric Trading, Ginning Mills","Aundha Nagnath Jyotirlinga Temple, Mallinath Digambar Jain Temple"
"Parbhani","PA","Chhatrapati Sambhaji Nagar Division","Parbhani",9,6517,1836086,282,947,73.34,31.8,"1 May 1960","19.26° N, 76.77° E","Godavari, Dudhna, Purna","Jowar, Cotton, Soybean","Agriculture, Agricultural University, Ginning & Pressing Factories","Shri Sai Janmasthan Temple (Pathri), Hazarat Turabul Haq Shah Dargah"
"Nanded","ND","Chhatrapati Sambhaji Nagar Division","Nanded",16,10528,3361292,319,943,75.45,27.2,"1 May 1960","19.15° N, 77.32° E","Godavari, Penganga, Manjara","Cotton, Soybean, Jowar, Banana","Agriculture, Sugar Mills, Religious Tourism, Education","Hazur Sahib Sachkhand Gurudwara, Mahur Renuka Devi Temple, Kandhar Fort"
"Nagpur","NG","Nagpur Division","Nagpur",14,9892,4653570,470,951,88.39,68.3,"1 May 1960","21.14° N, 79.08° E","Kanhan, Pench, Wardha","Oranges, Cotton, Soybean, Rice","Mining (Coal), Power Generation, Logistics Hub, IT, Food Processing","Deekshabhoomi, Futala Lake, Ramtek Fort Temple, Pench Tiger Reserve"
"Wardha","WR","Nagpur Division","Wardha",8,6309,1300774,206,946,86.99,32.5,"1 May 1960","20.74° N, 78.60° E","Wardha, Vena, Bakli","Cotton, Soybean, Pulses (Tur)","Cotton Ginning & Pressing, Textiles, Ordnance Factory, Soya Processing","Sevagram Ashram (Gandhiji's Ashram), Paunar Ashram (Vinoba Bhave), Bor Tiger Reserve"
"Bhandara","BH","Nagpur Division","Bhandara",7,4087,1200334,294,982,83.76,19.5,"1 May 1960","21.17° N, 79.65° E","Wainganga, Bawanthadi","Rice, Jowar, Pulses","Ordnance Factory, Brassware Industry, Rice Mills, Mining","Koka Wildlife Sanctuary, Ambagad Fort, Rawanwadi Dam"
"Gondia","GO","Nagpur Division","Gondia",8,5431,1322507,243,996,84.95,17.1,"1 May 1999","21.46° N, 80.20° E","Wainganga, Bagh","Rice, Pulses, Linseed","Rice Mills ('Rice City'), Beedi Industry, Forestry, Fishing","Navegaon National Park, Nagzira Wildlife Sanctuary, Itiadoh Dam"
"Chandrapur","CH","Nagpur Division","Chandrapur",15,11443,2204307,193,961,80.01,35.2,"1 May 1960","19.95° N, 79.29° E","Wardha, Wainganga, Penganga","Cotton, Rice, Soybean, Pulses","Coal Mining, Thermal Power Stations, Cement, Paper, Ferro-alloys","Tadoba-Andhari Tiger Reserve, Mahakali Mandir, Anandwan (Dr. Baba Amte's project)"
"Gadchiroli","GA","Nagpur Division","Gadchiroli",12,14412,1072942,74,982,74.36,11.0,"26 August 1982","20.18° N, 80.00° E","Godavari, Wainganga, Pranhita, Indravati","Rice, Tendu Leaves, Bamboo, Mahua","Forest Produce Collection, Tendu Leaf Processing, Mining (Iron Ore)","Markanda Devasthan, Tribal Crafts, Vairagad Fort, Hemalkasa (Lok Biradari Prakalp)"
"Amravati","AM","Amravati Division","Amravati",14,12210,2888445,237,951,87.38,35.9,"1 May 1960","20.93° N, 77.75° E","Tapi, Purna, Wardha","Cotton, Soybean, Tur (Pigeon Pea), Oranges","Textile Mills, Cotton Ginning, Food Processing, Education","Melghat Tiger Reserve, Chikhaldara Hill Station, Ambadevi Temple"
"Akola","AK","Amravati Division","Akola",7,5676,1813906,319,946,88.05,44.0,"1 May 1960","20.70° N, 77.07° E","Purna, Katepurna, Uma","Cotton, Jowar, Soybean, Pulses","Cotton & Textile Mills ('Cotton City'), Dal Mills, Oil Mills, Agriculture University","Narnala Fort, Akola Fort, Balapur Fort, Katepurna Sanctuary"
"Yavatmal","YTL","Amravati Division","Yavatmal",16,13582,2772348,204,952,82.82,21.6,"1 May 1960","20.38° N, 78.13° E","Penganga, Wardha","Cotton, Soybean, Pulses","Cotton Ginning & Pressing, Cement Pipes, Coal Mines (Wani)","Painganga Wildlife Sanctuary, Tipeshwar Wildlife Sanctuary, Kalamb (Shri Chintamani Ganesh)"
"Buldhana","BU","Amravati Division","Buldhana",13,9681,2586258,267,934,83.40,21.2,"1 May 1960","20.53° N, 76.18° E","Purna, Penganga, Nalganga","Cotton, Jowar, Maize, Soybean","Agriculture, Cotton Ginning, Seed companies","Lonar Crater Lake (National Geo-heritage Monument), Shegaon (Gajanan Maharaj Temple)"
"Washim","WS","Amravati Division","Washim",6,5150,1197160,232,930,83.25,17.7,"1 July 1998","20.10° N, 77.15° E","Penganga","Soybean, Cotton, Tur, Jowar","Agriculture, Soybean Processing, Dal Mills","Shri Balaji Mandir (Washim), Padmatirtha, Antariksha Parshwanath Jain Temple"
